"","Rating","VoteCount","Number of Episodes","Year Released"
"1","9.5","2.2M","62 episodes","2008–2013"
"2","9.5","162K","6 episodes","2016"
"3","9.4","224K","11 episodes","2006"
"4","9.4","546K","10 episodes","2001"
"5","9.3","907K","5 episodes","2019"
"6","9.3","391K","60 episodes","2002–2008"
"7","9.3","390K","61 episodes","2005–2008"
"8","9.3","49K","7 episodes","2017"
"9","9.2","498K","86 episodes","1999–2007"
"10","9.2","132K","13 episodes","2014"
"11","9.3","46K","13 episodes","1980"
"12","9.2","54K","12 episodes","2019–2023"
"13","9.2","2.4M","62 episodes","2011–2019"
"14","9.3","34K","137 episodes","2018–2024"
"15","9.2","31K","26 episodes","1973–1974"
"16","9.1","209K","64 episodes","2009–2010"
"17","9.1","627K","72 episodes","2013–2025"
"18","9.1","44K","11 episodes","2009"
"19","9.0","160K","10 episodes","2020"
"20","9.0","97K","155 episodes","1959–1964"
"21","9.1","30K","10 episodes","2017"
"22","9.1","1M","15 episodes","2010–2017"
"23","9.1","561K","93 episodes","2013–2023"
"24","9.0","122K","85 episodes","1992–1995"
"25","9.0","304K","14 episodes","2021–2024"
